scientific_name,overwinteringStage,voltinism,diurnality,notes.x,onsetProblems,offsetProblems,overwintering.stage.y,voltinism.y,notes.y,WikiName,OrigSyn,Syn,validName
Nemoria unitaria,,,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nemoria unitaria
Richia parentalis,,,N,NA,NA,NA,NA,NA,NA,Richia parentalis,"Richia distichoides  (Grote, 1883)",Richia distichoides,Richia parentalis
Stretchia plusiaeformis,,U,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stretchia plusiaeformis
Xestia smithii,,,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Xestia smithii
Anacamptodes vellivolata,P,F,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anacamptodes vellivolata
Eurois astricta,,,N,NA,NA,NA,NA,NA,NA,Eurois astricta,"Eurois astricta elenae  (Barnes & Benjamin, 1926)",Eurois astricta elenae,Eurois astricta
Eurois astricta,,,N,NA,NA,NA,NA,NA,NA,Eurois astricta,"Eurois astricta subjugata  (Dyar, 1904)",Eurois astricta subjugata,Eurois astricta
Pero modestus,,,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pero modestus
Eacles imperialis,P,U,N,,N,,NA,NA,NA,NA,NA,NA,Eacles imperialis
Protagrotis niveivenosa,,,N,NA,NA,NA,NA,NA,NA,Apamea niveivenosa,Agrotis niveivenosa ,Agrotis niveivenosa,Apamea niveivenosa
Protagrotis niveivenosa,,,N,NA,NA,NA,NA,NA,NA,Apamea niveivenosa, Agrotis viralis ,Agrotis viralis,Apamea niveivenosa
Protagrotis niveivenosa,,,N,NA,NA,NA,NA,NA,NA,Apamea niveivenosa," Apamea extensa (Smith, 1905)",Apamea extensa,Apamea niveivenosa
Protagrotis niveivenosa,,,N,NA,NA,NA,NA,NA,NA,Apamea niveivenosa," Apamea obscura (Barnes & McDunnough, 1911)",Apamea obscura,Apamea niveivenosa
Protagrotis niveivenosa,,,N,NA,NA,NA,NA,NA,NA,Apamea niveivenosa, Protagrotis niveivenosa ,Protagrotis niveivenosa,Apamea niveivenosa
Protagrotis niveivenosa,,,N,NA,NA,NA,NA,NA,NA,Apamea niveivenosa,Apamea niveivenosa,Apamea niveivenosa,Apamea niveivenosa
Apamea auranticolor,,,N,NA,NA,NA,NA,NA,NA,Apamea auranticolor,Hadena auranticolor ,Hadena auranticolor,Apamea auranticolor
Apamea commoda,,,N,NA,NA,NA,NA,NA,NA,Apamea commoda,Xylina commoda ,Xylina commoda,Apamea commoda
